所属省份,区划名称,面积/平方公里,常住人口/万人（2010）,人口密度/人/平方公里,GDP/亿元,GDP年份,人均GDP/万元,省级序列,城市分级,流动人口/万人（2018）,流动人口/万人（2017）,铁路干线1-特等站,铁路干线2-五纵三横,民航年流量/万人（2018）前五十,民航年流量/万人（2018）前一百,经度,纬度,Suo Shu Sheng Fen ,Qu Hua Ming Cheng
上海,上海,"6,340.50",2302,3630.5,20101,2012,8.73,1,0,972.69,969.7,特,1,11768.2,11768.2,121.4692688,31.23817635,Shang Hai ,Shang Hai 
北京,北京,"16,800.00",1961,1167.4,17801,2012,9.08,1,0,794.3,810,特,1,10749.6,10749.6,116.3809433,39.9236145,Bei Jing ,Bei Jing 
广东,广州,"7,434.40",1270,1708.38,13551,2012,10.67,1,0,967.33,533.9,特,1,6979,6979,113.2614288,23.11891174,Guang Dong ,Guang Zhou 
广东,深圳,"1,952.84",1036,5304.04,12950,2012,12.5,2,0,818.11,806.3,特,1,4934.9,4934.9,114.110672,22.55639648,Guang Dong ,Shen Zhen 
天津,天津,"11,920.00",1294,1085.42,12885,2012,9.96,1,1,498.23,517.7,特,1,2359.1,2359.1,117.2034988,39.13111877,Tian Jin ,Tian Jin 
江苏,苏州,"8,488.00",1047,1233.03,12012,2012,11.48,,1,538,569.68,,,,,120.6187286,31.31645203,Jiang Su ,Su Zhou 
重庆,重庆,"82,400.00",2885,350.07,11459,2012,3.97,1,1,167.65,,特,1,4159.6,4159.6,106.5103378,29.55817604,Chong Qing ,Chong Qing 
四川,成都,"12,390.00",1258,1015.25,8138,2012,6.47,1,1,437,192.9,特,1,5287.7,5287.7,104.0817566,30.66105652,Si Chuan ,Cheng Du
湖北,武汉,"8,494.41",891,1048.93,8003,2012,8.98,1,1,287,242.8,特,1,2450,2450,114.2919388,30.56751442,Hu Bei ,Wu Han 
浙江,杭州,"16,840.75",786,466.84,7804,2012,9.93,1,1,450.44,182.8,,1,3824.2,3824.2,120.1592484,30.26599503,Zhe Jiang ,Hang Zhou 
江苏,无锡,"4,788.00",637,1330.96,7568,2012,11.88,2,2,190,206.1,特,,720.8,720.8,120.2991333,31.57723045,Jiang Su ,Wu Xi 
山东,青岛,"11,175.30",839,750.47,7302,2012,8.71,2,1,161,129.1,特,,2453.6,2453.6,120.3581696,36.13386154,Shan Dong ,Qing Dao 
江苏,南京,"6,597.00",800,1213.38,7202,2012,9,1,1,200,164.2,特,1,2858,2858,118.7727814,32.04761505,Jiang Su ,Nan Jing 
辽宁,大连,"13,538.39",608,449.09,7000,2012,11.51,2,2,120,103.1,,1,1876.3,1876.3,121.6008377,38.91780472,Liao Ning ,Da Lian 
广东,佛山,"3,848.49",719,1869.39,6709,2012,9.33,,2,360.09,346.1,,,,,113.1145172,23.03487778,Guang Dong ,Fo Shan 
辽宁,沈阳,"12,880.88",762,591.57,6700,2012,8.79,1,1,90.7,94.8,特,1,1902.7,1902.7,123.4116821,41.7966156,Liao Ning ,Shen Yang 
浙江,宁波,"9,695.51",690,711.15,6525,2012,9.46,2,1,430,242.22,,,1171.8,1171.8,121.5412827,29.87066841,Zhe Jiang ,Ning Bo 
湖南,长沙,"11,819.46",653,552.39,6399,2012,9.8,1,1,200,177.4,特,1,2526.6,2526.6,112.9812698,28.20082474,Hu Nan,Chang Sha 
河北,唐山,"13,472",739,548.48,5862,2012,7.93,2,,39,24.78,,,,,118.2017288,39.62533951,He Bei ,Tang Shan 
